Airport,Latitude,Longitude
FFT,38.18,-84.9
FFU,-43.2,-71.82
FGD,22.5,-12.67
FGI,-14.17,-171.7
FGL,-43.4,170
FGR,36.53,-4.633
FGU,-15,-142
FHU,31.588472,-110.344389
FHZ,-16,-140
FIC,55.77,-131.5
FID,41.27,-72.03
FIE,59.5,-1.667
FIG,10.350556,-13.569167
FIH,-4.38575,15.444569
FIK,-25.58,134.6
FIL,38.97,-112.3
FIN,-6.617,147.9
FIV,57.27,-133.6
FIZ,-18.181944,125.558611
FJR,25.112225,56.323964
FKB,48.779353,8.0805
FKH,52.83,0.85
FKI,0.481639,25.337973
FKJ,36.142847,136.223922
FKL,41.38,-79.87
FKN,36.68,-76.92
FKQ,-2.920192,132.267031
FKS,37.227431,140.430678
FLA,1.589189,-75.564372
FLB,-6.833,-43
FLC,-34.98,150.6
FLD,43.77,-88.48
FLE,37.18,-77.51
FLF,54.78,9.383
FLG,35.138454,-111.67122
FLH,58.5,-3
FLI,65.98,-23.7
FLJ,60.02,-148
FLL,26.072583,-80.15275
FLM,-22.35,-60.03
FLN,-27.670489,-48.547181
FLO,34.185361,-79.723889
FLP,36.3,-92.58
FLR,43.809953,11.2051
FLS,-40.08,148
FLT,62.45,-158
FLU,40.78,-73.83
FLV,39.368332,-94.914686
FLW,39.455272,-31.131361
FLX,39.47,-118.8
FLY,-35.65,145.6
FMA,-26.212722,-58.228111
FMC,65.92,-149.8
FME,39.09,-76.76
FMG,10.42,-85.78
FMH,41.57,-70.63
FMI,-5.875556,29.25
FMM,47.99,10.24
FMN,36.75,-108.2
FMO,52.134642,7.684831
FMS,40.65,-91.32
FMU,43.98,-124.1
FMY,26.58,-81.87
FNA,8.616444,-13.195489
FNB,53.602167,13.306
FNC,32.697889,-16.774453
FNE,-8.6,147.2
FNG,12.07,0.35
FNH,9.667,37.35
FNI,43.757444,4.416347
FNJ,39.224061,125.67015
FNK,69.5,-147.6
FNL,40.58,-105.1
FNR,58.25,-134.9
FNT,42.965425,-83.743631
FOA,60.15,-1.15
FOB,39.43,-123.8
FOC,25.935064,119.663272
FOD,42.5512,-94.191842
FOE,38.950944,-95.663611
FOG,41.432917,15.535028
FOK,40.83,-72.62
FOM,5.636919,10.750817
FON,10.4,-84.48
FOO,-0.9333,134.9
FOP,33.61,-82.14
FOR,-3.776283,-38.532556
FOS,-30.838056,128.115
FOT,-32.18,152.5
FOU,-1.2,10.78
FOX,64.85,-147.8
FOY,8.367,-10.22
FPO,26.558686,-78.695553
FPR,27.495056,-80.368278
FPY,30.12,-83.58
FQQ,48.13,16.53
FRA,50.026421,8.543125
FRB,-33.363611,147.935
FRC,-20.58,-47.38
FRD,48.53,-123
FRE,-8.1,159.6
FRF,50.03,8.567
FRG,40.728781,-73.413408
FRH,38.55,-86.62
FRI,39.055275,-96.764453
FRJ,43.42,6.733
FRK,-4.583,55.95
FRL,44.2,12.07
FRM,43.65,-94.42
FRN,61.26,-149.7
FRO,61.5,5.08
FRP,57.83,-135
FRQ,-5.42,141.7
FRR,38.92,-78.18
FRS,16.92,-89.88
FRT,-41.12,-73.05
FRU,42.85,74.58
FRW,-21.15,27.47
FRY,44.02,-70.98
FRZ,51.13,9.28
FSC,41.58,9.25
FSD,43.58,-96.73
FSI,34.65,-98.4
FSK,37.8,-94.77
FSL,-18.2,125.8
FSM,35.33,-94.37
FSN,41.56,-88.66
FSP,46.92,-56.17
FSS,57.65,-3.57
FST,30.92,-102.9
FSU,34.47,-104.3
FTA,-19.53,170.2
FTE,-50.28,-72.05
FTI,-14.22,-169.5
FTK,37.91,-85.97
FTL,61.87,-162
FTU,-25.03,46.95
FTW,32.819778,-97.362444
FTX,-0.53135,15.950094
FTY,33.779139,-84.521361
FUB,-6.15,150.7
FUD,44.38,131.1
FUE,28.452717,-13.863761
FUG,32.87,115.7
FUJ,32.666269,128.832808
FUK,33.585942,130.450686
FUL,33.87,-118
FUM,-6.383,142.4
FUN,-8.517,179.2
FUO,23.13,113.3
FUT,-14.25,-178.2
FVL,-18.28,128.4
FVR,-15.18,127.8
FWA,40.978472,-85.195139
FWH,32.85,-96.85
FWL,62.52,-153.9
FWM,56.82,-5.117
FXE,26.18,-80.17
FXM,70.22,-146
FXO,-14.82,36.53
FXY,43.27,-93.65
FYM,35.15,-86.58
FYN,45,90
FYT,17.917053,19.111078
FYU,66.571492,-145.250417
FYV,36.005094,-94.170059
FZO,51.519444,-2.590833
GAA,9.15,-74.23
GAB,38.87,-117.9
GAC,14.5,-88.53
GAD,33.97,-86.08
GAE,33.83,10
GAF,34.42,8.82
GAG,36.32,-99.75
GAH,-25.62,151.6
GAI,39.13,-77.2
GAJ,38.4,140.4
GAK,62.3,-145.3
GAL,64.72,-156.9
GAM,63.77,-171.8
GAN,0.5,73.27
GAO,20.08,-75.15
GAP,-6.05,146
GAQ,16.32,-0.15
GAR,-7.87,147.1
GAS,0.47,39.63
GAT,44.45,6.02
GAU,26.1,91.57
GAV,-0.45,130.9
GAW,22.17,94.13
GAX,-2.77,9.98
GAY,24.75,84.95
GAZ,-9.23,153
GBA,-16.05,167.4
GBB,26.15,-7.35
GBC,-6.1,141.7
GBD,38.35,-98.87
GBE,-24.55,25.92
GBF,-6.58,144.7
GBG,40.93,-90.43
GBH,68.47,-149.5
GBI,26.67,-78.33
GBJ,15.37,-61.27
GBK,7.8,-12.37
GBL,-11.67,133.4
GBM,3.33,42.18
GBN,41.7,15.73
GBO,39.18,-76.68
GBP,-16.55,143.7
GBQ,26.25,50.65
GBR,42.2,-73.37
GBS,-36.17,175.4
GBT,36.9,54.41
GBU,14.92,35.88
GBV,-16.33,126.4
GBZ,-36.17,175.3
GCA,2.28,-74.95
GCC,44.35,-105.5
GCD,47.92,-119.1
GCH,30.2,50.78
GCI,49.43,-2.6
GCJ,-26.25,28
GCK,37.93,-100.7
GCM,19.28,-81.37
GCN,35.95,-112.2
GCV,-29.94,-50.99
GCW,35.99,-113.8
GCY,36.18,-82.82
GDA,9.33,21.18
GDC,34.85,-82.35
GDD,-18.83,128.5
GDE,6.1,43
GDG,53.47,125.8
GDH,59.75,-158.9
GDI,9.73,21.58
GDJ,-6.73,23.95
GDL,20.67,-103.3
GDM,42.57,-72
GDN,54.4,18.6
GDO,7.23,-70.8
GDP,-6.77,-43.57
GDQ,12.52,37.42
GDT,21.57,-71.17
GDV,47.13,-104.7
GDW,43.98,-84.48
GDX,59.92,150.7
GDZ,44.57,38.02
GEA,-22.27,166.5
GEB,-0.08,129.3
GEC,35.23,33.72
GED,38.68,-75.37
GEE,-41.07,146.8
GEF,-7.57,156.6
GEG,47.62,-117.5
GEI,-4.5,154.2
GEK,62.98,-156.5
GEL,-28.27,-54.27
GEN,37.38,-4.77
GEO,6.77,-58.23
GER,21.92,-82.75
GES,6.5,125.2
GET,-28.78,114.7
GEV,67,20.83
GEW,-9.3,148.5
GEX,-38.13,144.4
GEY,44.52,-108.1
GFA,47.5,-111.2
GFB,59.05,-160.3
GFD,39.78,-85.77
GFE,-33.9,148.2
GFF,-34.25,146.1
GFK,47.95,-97.18
GFL,43.35,-73.62
GFN,-29.67,153
GFO,6.42,-58.58
GFR,48.88,-1.57
GFY,-19.6,18.13
GGC,-14.12,21.43
GGD,-18.7,139.3
GGE,33.32,-79.32
GGG,32.38,-94.72
GGL,8.33,-77.08
GGN,6.13,-5.93
GGO,6.55,-7.48
GGR,8.42,48.48
GGS,-48.77,-70.2
GGT,23.47,-75.82
GGW,48.22,-106.6
GHA,32.38,3.82
GHB,25.15,-76.18
GHC,25.75,-77.85
GHD,9.4,39.27
GHE,8.08,-78.33
GHF,49.65,9.97
GHK,32.12,34.78
GHM,35.78,-87.47
GHN,30.47,106.7
GHT,24.97,10.17
GHU,-33.02,-58.58
GIB,36.15,-5.35
GIC,-9.27,142.2
GID,-3.42,29.92
GIF,28.07,-81.75
GIG,-22.82,-43.25
GII,11.4,-9.18
GIL,35.92,74.38
GIM,-0.02,11.4
GIR,4.28,-74.8
GIS,-38.67,178
GIT,-2.87,32.17
GIU,7.95,80.72
GIY,-22.37,29.98
GIZ,16.93,42.57
GJA,16.5,-85.92
GJL,36.8,5.88
GJM,-10.83,-65.33
GJR,65.98,-21.35
GJT,39.12,-108.5
GKA,-6.05,145.4
GKE,50.95,6.12
GKH,28,84.67
GKL,-23.18,151
GKN,62.17,-145.5
GKO,-0.08,11.47
GKT,35.85,-82.03
GLA,55.88,-4.25
GLB,33.35,-110.7
GLC,6.97,46.42
GLD,39.37,-101.7
GLE,33.62,-97.13
GLF,8.653775,-83.180544
GLG,-24.77,139.6
GLH,33.47,-90.98
GLI,-29.675,151.689444
GLK,6.85,47.27
GLL,60.78,9.05
GLM,-22.28,138.3
GLN,29.02,-10.07
GLO,51.894167,-2.167222
GLP,-5.283,141.5
GLQ,62.12,-145.6
GLR,45.02,-84.7
GLS,29.265322,-94.860406
GLT,-23.869722,151.222778
GLV,64.55,-163
GLW,37.03,-85.95
GLX,-2.183,127.8
GLY,-20.08,119.7
GLZ,51.57,4.917
GMA,3.235369,19.771258
GMB,8.128764,34.563131
GMC,3.633,-71.17
GME,52.527022,31.016692
GMI,-6.3,150.3
GMM,-1.933,15.87
GMN,-42.47,171.2
GMP,37.558311,126.790586
GMR,-23.079861,-134.890333
GMS,-2.133,-44.6
GMT,65.4,-161.3
GMU,34.85,-82.35
GMV,37,-110.2
GMY,52.35,14.55
GMZ,28.02,-17.2
GNA,53.601967,24.053758
GNB,45.362944,5.329375
GND,12.004247,-61.786192
GNE,51.05,3.717
GNF,39.94,-120.9
GNG,42.92,-114.8
GNI,22.673853,121.466481
GNM,-14.22,-42.78
GNN,7.15,40.72
GNR,-39.03,-67.58
GNS,1.166381,97.704681
GNT,35.15,-107.9
GNU,59.12,-161.5
GNV,29.690056,-82.271778
GNY,37.44,38.88
GNZ,-21.7,21.67
GOA,44.413333,8.8375
GOB,7.133,40.13
GOC,-8.417,147.7
GOE,-5.383,151.9
GOF,31.36,-100.5
GOG,-22.5,18.97
GOH,64.190922,-51.678064
GOI,15.380833,73.831422
GOJ,56.230119,43.784042
GOK,35.88,-97.42
GOL,42.42,-124.4
GOM,-1.670814,29.238464
GON,41.330056,-72.045139
GOO,-28.521389,150.320278
GOP,26.73,83.45
GOQ,34.63,98.87
GOR,8.167,35.55
GOS,-33.43,151.4
GOT,57.662836,12.279819
GOU,9.335892,13.370103
GOV,-12.269444,136.818333
GOY,7.337081,81.625881
GOZ,43.151444,25.712889
GPA,38.151111,21.425556
GPB,-25.38,-51.45
GPI,2.570133,-77.8986
GPL,10.22,-83.77
GPN,-11.4,130.4
GPO,-35.696183,-63.758286
GPS,-0.453758,-90.265914
GPT,30.407278,-89.070111
GPZ,47.22,-93.52
GQJ,55.437222,-5.686389
GQQ,40.73,-82.8
GRA,8.2,-73.78
GRB,44.485072,-88.129589
GRC,4.6,-8.167
GRD,34.25,-82.15
GRE,38.88,-89.42
GRF,47.079217,-122.580783
GRG,33.62,69.12
GRH,-10.32,150.7
GRI,40.967542,-98.309639
GRJ,-34.005553,22.378889
GRK,31.06725,-97.828917
GRL,-7.95,147.2
GRM,47.75,-91.33
GRN,42.8,-102.2
GRO,41.900969,2.760547
GRP,-11.67,-49.22
GRQ,53.11972,6.579444
GRR,42.880833,-85.522806
GRS,42.759747,11.071897
GRT,32.57,74.08
GRU,-23.432075,-46.469511
GRV,43.33,45.7
GRW,39.092169,-28.029847
GRX,37.188731,-3.777356
GRY,66.57,-18.02
GRZ,46.991067,15.439628
GSA,5.333,117.2
GSB,35.339383,-77.960589
GSC,-25.05,115.2
GSE,57.774722,11.870372
GSH,41.58,-85.83
GSI,38.1,-5.817
GSL,35.85,-111.5
GSM,26.95,56.28
GSN,-31.87,138.2
GSO,36.09775,-79.937306
GSP,34.895667,-82.218861
GSQ,22.58,28.72
GSR,9.517,49.08
GSS,-25.12,30.8
GST,58.425269,-135.707411
GSU,14.13,35.32
GSY,51.33,0.03333
GTA,-8.75,158.2
GTB,44.055619,-75.719458
GTC,26.78,-77.33
GTE,-14,136.5
GTF,47.482,-111.370689
GTG,45.78,-92.68
GTI,54.38,12.32
GTK,2.6,102.9
GTN,-43.9,170.1
GTO,0.637119,122.849858
GTP,42.51,-123.4
GTR,33.47,-88.38
GTS,-26.97,133.6
GTT,-18.42,143.8
GTW,49,17.67
GTY,39.83,-77.23
GUA,14.583272,-90.527475
GUB,28.67,-114.2
GUC,38.53,-106.9
GUD,16.35,-3.6
GUE,-3.583,141.6
GUF,30.17,-87.58
GUG,-8.1,146.9
GUH,-30.961111,150.250556
GUI,10.574078,-62.312667
GUJ,-22.82,-45.22
GUL,-34.810278,149.726389
GUM,13.48345,144.795983
GUN,32.3,-86.39
GUO,15.08,-86.03
GUP,35.511058,-108.789308
GUQ,9.026944,-69.75515
GUR,-10.33,150.4
GUS,40.648094,-86.152119
GUT,51.922833,8.306333
GUU,64.97,-23.17
GUV,-6.283,142.4
GUW,47.121944,51.821389
GUX,24.48,77.32
GUY,36.68,-101.5
GUZ,-22.82,-40.48
GVA,46.238064,6.10895
GVE,38.15,-78.17
GVI,-3.917,141.2
GVL,34.27,-83.83
GVN,48.93,140.3
GVP,-15.78,144.6
GVR,-18.87,-41.82
GVT,33.13,-96.12
GVW,38.88,-94.53
GVX,60.593333,16.951389
GWA,17.83,94.5
GWD,25.233308,62.329494
GWE,-19.436394,29.861911
GWL,26.293336,78.227753
GWN,-6.567,146.3
GWO,33.494328,-90.084706
GWS,39.53,-107.3
GWT,54.91325,8.340472
GWV,38.35,-81.63
GWW,52.57,13.3
GWY,53.300175,-8.941592
GXF,15.966111,48.7883
GXG,-7.754506,15.287728
GXH,52.2,0.5167
GXQ,-45.594211,-72.106133
GXX,10.35,15.23
GXY,40.33,-104.6
GYA,-10.8,-65.38
GYD,40.38,49.88
GYE,-2.157419,-79.883558
GYI,-1.677203,29.258875
GYL,-16.636944,128.451389
GYM,27.968983,-110.925169
GYN,-16.632033,-49.220686
GYP,-26.282778,152.701944
GYR,33.43,-112.4
GYS,32.4,105.7
GYY,41.616272,-87.412788
GZA,31.25,34.28
GZI,33,68.42
GZM,36.03,14.2
GZO,-8.167,157
GZT,36.947183,37.478683
GZW,36.23,50.03
HAA,70.486675,22.139744
HAB,34.12,-88
HAC,33.115,139.785833
HAD,56.691128,12.820211
HAE,36.22,-112.7
HAF,37.48,-122.5
HAG,52.15,4.283
HAH,-11.533661,43.27185
HAI,43.7,-85.48
HAJ,52.461056,9.685078
HAK,19.934856,110.458961
HAL,-19.97,13.07
HAM,53.630389,9.988228
HAN,21.221192,105.807178
HAO,39.43,-84.5
HAP,-19.17,147.7
HAQ,6.744228,73.170514
HAR,40.3,-76.82
HAS,27.437917,41.686292
HAT,-19.72,140.6
HAU,59.345267,5.208364
HAV,22.989153,-82.409086
HAW,51.833056,-4.961111
HAX,35.67,-95.37
HAY,65.2,-161.2
HAZ,-4.333,145.2
HBA,-42.836111,147.510278
HBB,32.68,-103.2
HBC,57.08,-135.3
HBD,-6.317,142.5
HBE,30.917669,29.696408
HBG,31.32,-89.27
HBH,57.4,-133.5
HBI,25.08,-77.35
HBK,34.94,-110.1
HBL,-28.17,26.77
HBN,12,106
HBO,40.17,-95.95
HBR,35.02,-99.1
HBT,27.900917,45.528194
HBX,15.33,75.23
HCA,32.3,-101.4
HCB,55.46,-131.3
HCC,42.25,-73.78
HCM,8,49.92
HCN,21.93,120.8
HCQ,-18.233889,127.669722
HCR,62.15,-159.8
HCS,-26.2,28.13
HCW,34.7,-79.88
HDA,57.07,-135
HDB,49.42,8.4
HDD,25.3,68.38
HDE,40.43,-99.37
HDF,53.878706,14.152347
HDG,36.53,114.4
HDH,21.579475,-158.197281
HDM,34.869167,48.5525
HDN,40.48,-107.2
HDR,27.05,56.17
HDS,-24.368642,31.048744
HDY,6.933206,100.392975
HEA,34.210017,62.2283
HEB,17.6,95.45
HED,55.8,-160.9
HEE,34.58,-90.67
HEH,20.747036,96.792044
HEI,54.15,8.9
HEK,50.25,127.3
HEL,60.317222,24.963333
HEM,60.254558,25.042828
HEN,51.58,-0.2333
HEO,-9.133,147.6
HER,35.339719,25.180297
HES,45.85,-119.3
HET,40.851422,111.824103
HEV,37.27,-6.95
HEW,37.95,23.81
HEX,18.43,-69.67
HEY,31.35,-85.65
HEZ,31.62,-91.3
HFA,32.809444,35.043056
HFD,41.736722,-72.649444
HFE,31.780019,117.298436
HFF,35.04,-79.5
HFN,64.295556,-15.227222
HFS,60.020064,13.578908
HFT,70.7,23.67
HGA,9.518167,44.088758
HGD,-20.815,144.225278
HGH,30.229503,120.434453
HGL,54.18,7.917
HGN,19.301667,97.975
HGO,9.387183,-5.556664
HGR,39.707944,-77.7295
HGS,8.383,-13.12
HGT,36,-121.2
HGU,-5.826789,144.295861
HGZ,66.18,-155.7
HHA,28.19,113.2
HHE,40.556447,141.466325
HHH,32.22,-80.7
HHI,21.48,-158
HHN,49.948672,7.263892
HHP,22.33,114.2
HHQ,12.636225,99.951533
HHR,33.922839,-118.335186
HHZ,-17.53,-142.5
HIB,47.3866,-92.838994
HIC,-25.82,28.17
HID,-10.586389,142.29
HIE,44.37,-71.55
HIF,41.123939,-111.973039
HIG,-16.43,143.2
HIH,-20.17,149
HII,34.57,-114.4
HIJ,34.436111,132.919444
HIK,21.31,-157.8
HIL,9.017,38.77
HIM,8.05,80.97
HIN,35.25,128.4
HIO,45.52,-123
HIP,-21.32,138.3
HIR,-9.428,160.054789
HIS,-20.07,148.9
HIT,-6.933,143.1
HIW,34.366944,132.413889
HIX,-9.75,-139
HJJ,27.11,109
HJR,24.817197,79.918597
HJT,47.08,102.8
HKA,35.93,-89.92
HKB,63.87,-149
HKD,41.77,140.821944
HKG,22.308919,113.914603
HKK,-42.713611,170.985278
HKN,-5.462169,150.404944
HKP,22.91,-156.7
HKS,32.33,-90.22
HKT,8.1132,98.316872
HKV,41.97,25.5
HKY,35.741147,-81.38955
HLA,-25.938514,27.926133
HLB,39.3,-85.22
HLC,39.37,-99.85
HLD,49.204997,119.825
HLF,57.525833,15.823333
HLG,40.08,-80.72
HLH,46.08,122.1
HLI,36.85,-121.4
HLL,-17,128
HLM,42.78,-86.12
HLN,46.606806,-111.98275
HLP,-6.267,106.9
HLR,31.138731,-97.714469
HLS,-41,148.2
HLT,-37.65,142.1
HLU,-21.25,165.6
HLV,-15.68,145.2
HLW,-28.02,32.25
HLY,53.32,-4.633
HLZ,-37.866661,175.332056
HMA,61.02,69.08
HME,31.672972,6.140444
HMG,-23.97,132.7
HMI,42.48,93.5
HMJ,49.42,27
HMN,32.852519,-106.106525
HMO,29.095858,-111.047858
HMR,60.8,11.1
HMS,58.1,-135.4
HMT,33.75,-117
HMV,65.806111,15.082778
HNA,39.428611,141.135278
HNB,38.3,-86.95
HNC,35.22,-75.68
HND,35.552258,139.779694
HNE,61.88,-147.3
HNG,21.450453,-157.768
HNH,58.1,-135.4
HNI,-7.4,146.5
HNK,-18.38,146.3
HNL,21.318681,-157.922428
HNM,20.795636,-156.014439
HNN,-6.233,142.2
HNO,42.45,18.53
HNS,59.25,-135.5
HNX,41.87,-106.6
HNY,26.9,112.6
HOA,-1.483,40.03
HOB,32.68,-103.2
HOC,-7.417,145.9
HOD,14.753,42.976336
HOE,20.258017,100.437083
HOF,25.285306,49.485189
HOG,20.785589,-76.315108
HOH,47.38,9.7
HOI,-18.074814,-140.945886
HOK,-18.37,130.7
HOL,62.9,-159.5
HOM,59.645556,-151.476583
HON,44.3852,-98.228542
HOO,11.98,107.6
HOP,36.668567,-87.496183
HOQ,50.288836,11.854919
HOR,38.519894,-28.715872
HOS,-37.444692,-70.222469
HOT,34.478033,-93.096207
HOU,29.645419,-95.278889
HOV,62.05,6.083
HOW,8.914794,-79.599633
HOX,24.87,94.92
HOY,58.83,-3.3
HPA,-19.82,-174.3
HPB,61.5,-166.1
HPE,-14.67,144.9
HPH,20.87,106.7
HPN,41.066959,-73.707575
HPP,13.65,102.7
HPR,-25.98,28.15
HPT,42.75,-93.2
HPV,21.98,-159.4
HPY,29.73,-94.97
HQM,46.971194,-123.936556
HRA,34.33,73.2
HRB,45.623403,126.250328
HRC,48.47,70.47
HRD,68.8,16.5
HRE,-17.931806,31.092847
HRG,27.178317,33.799436
HRJ,28,83.83
HRK,49.924786,36.289986
HRL,26.2285,-97.654389
HRM,32.930431,3.311542
HRN,-31.92,115.9
HRO,36.261519,-93.154728
HRR,3.217,-75.85
HRS,-28.23,29.1
HRT,54.05,-1.25
HRY,-24.67,133.1
HRZ,-27.64,-54.34
HSB,37.73,-88.55
HSC,24.83,113.6
HSG,33.15,130.3
HSH,35.97,-115.1
HSI,40.6,-98.43
HSK,42.09,-0.3303
HSL,65.7,-156.4
HSM,-36.669722,142.172778
HSN,29.38,122.4
HSP,37.95,-79.82
HSS,29.17,75.8
HST,25.48855,-80.383567
HSV,34.637194,-86.775056
HSZ,24.82,120.9
HTA,52.026317,113.305556
HTB,15.85,-61.63
HTF,51.75,-0.2333
HTG,71.97,102.5
HTH,38.55,-118.6
HTI,-20.358056,148.951667
HTL,47.1,-88.57
HTM,50.45,100.2
HTN,37.038522,79.864933
HTO,40.97,-72.23
HTR,24.05,123.8
HTS,38.366667,-82.558028
HTU,-35.72,142.4
HTV,30.75,-95.58
HTW,36.75,-76.25
HTY,36.58,36.16
HTZ,6.167,-71.75
HUA,34.678653,-86.684781
HUB,-16.48,130.6
HUC,18.14,-65.8
HUD,42.73,-94.22
HUE,14.25,36.58
HUF,39.451464,-87.307561
HUG,15.33,-91.47
HUH,-16.687242,-151.021667
HUI,16.4,107.7
HUJ,34.02,-95.52
HUK,-23.98,21.75
HUL,46.13,-67.8
HUM,29.58,-90.67
HUN,24.023725,121.616906
HUQ,29.110106,15.965567
HUS,66.03,-154.2
HUT,38.0655,-97.860634
HUU,-9.878811,-76.204797
HUV,61.768092,17.080719
HUX,15.775317,-96.262572
HUY,53.574444,-0.350833
HUZ,23.08,114.4
HVA,-14.629694,47.763783
HVB,-25.318889,152.880278
HVD,48.02,91.65
HVE,38.42,-110.7
HVG,70.98,25.83
HVK,65.7,-21.7
HVM,65.42,-21
HVN,41.26375,-72.886806
HVR,48.55,-109.8
HVS,34.4,-80.12
HWA,-7.433,146
HWD,37.67,-122.1
HWI,58.13,-134.8
HWK,-31.88,138.4
HWN,-18.37,26.52
HWO,26,-80.15
HXX,-34.531389,144.829722
HYA,41.669336,-70.280356
HYC,51.63,-0.7667
HYD,17.453117,78.467586
HYF,-3.633,143.1
HYG,55.2,-132.8
HYL,55.48,-132.7
HYN,28.42,122.4
HYR,46.03,-91.45
HYS,38.85,-99.27
HYV,60.654444,24.881111
HZB,50.62,2.65
HZG,32.98,107.2
HZH,26.34,109.2
HZK,65.952328,-17.425978
HZL,40.98,-76
HZP,57.37,-111.7
HZV,-25.07,32.17
IAA,67.43,86.63
IAB,37.621853,-97.268192
IAD,38.944533,-77.455811
IAG,43.107333,-78.946194
IAH,29.984433,-95.341442
IAM,28.05155,9.642911
IAN,66.98,-160.4
IAQ,27.212678,54.318592
IAR,57.62,39.88
IAS,47.178492,27.620631
IAT,33.97,-122
IAU,-9.783,148.1
IBA,7.362458,3.978333
IBE,4.421608,-75.1333
IBI,-8.4,146.3
IBL,-21.7,35.45
IBO,-12.33,40.58
IBP,-11.411578,-69.488711
IBZ,38.872858,1.373117
ICA,4.333,-61.73
ICI,-16.73,179.6
ICK,5.933,-56.98
ICL,40.73,-95.03
ICN,37.469075,126.450517
ICO,11.45,123.3
ICR,20.98,-75.97
ICS,44.49,-116
ICT,37.649944,-97.433056
ICY,59.98,-141.7
IDA,43.514556,-112.07075
IDB,61.87,12.68
IDC,-22.18,35.52
IDF,-5,19.5
IDG,42.35,-95.47
IDH,45.94,-116.1
IDI,40.63,-79.1
IDK,-26.97,133.3
IDN,-6.033,147
IDO,-11.57,-50.63
IDP,37.22,-95.7
IDR,22.721786,75.801086
IDY,46.718611,-2.391111
IEG,52.138517,15.798556
IEJ,26.721967,127.784839
IES,51.3,13.28
IEV,50.401694,30.449697
IFA,42.52,-93.27
IFF,-18.92,141.3
IFH,32.92,51.55
IFJ,66.058056,-23.135278
IFL,-17.559444,146.011667
IFN,32.750836,51.861267
IFO,48.884167,24.686111
IFP,35.15,-114.6
IGA,20.975,-73.666862
IGB,-41.3,-69.58
IGE,-1.917,9.317
IGG,59.32,-155.9
IGH,-18.660556,146.151667
IGL,38.513022,27.010053
IGM,35.25,-113.9
IGN,8.130489,124.214925
IGO,7.683,-76.68
IGR,-25.737281,-54.473444
IGS,48.72,11.53
IGU,-25.59615,-54.487206
IHA,33.95,133.3
IHC,-26,32.93
IHN,15.43,51.7
IHO,-22.4,46.13
IHR,27.23,60.72
IHU,-7.9,145.4
IIA,53.08,-9.533
III,43.67,7.217
IIL,33.62,46.43
IIN,30.83,131
IIS,-4.333,154.3
IJK,56.83,53.47
IJU,-28.42,-53.92
IJX,39.77,-90.23
IKA,35.41,51.15
IKB,36.17,-81.15
IKI,33.749027,129.785417
IKK,41.071389,-87.846278
IKL,-1.2,23.3
IKO,53,-168.8
IKP,-16.25,141.5
IKS,71.7,128.9
IKT,52.268028,104.388975
ILA,-3.833,137.6
ILB,-20.33,-51.33
ILE,31.15,-97.72
ILF,56.07,-95.58
ILG,39.678722,-75.606528
ILH,50.93,6.95
ILI,59.754356,-154.910961
ILK,-19.75,48.82
ILL,45.12,-95.1
ILM,34.270615,-77.902569
ILN,39.42,-83.8
ILO,10.713044,122.545297
ILP,-22.58,167.5
ILQ,-17.33,-71.33
ILR,8.440211,4.493919
ILU,-2.9,38.07
ILX,-5.483,145.8
ILY,55.681944,-6.256667
ILZ,49.23,18.77
IMA,-9.5,150.5
IMB,5.717,-60.28
IMD,-3.35,141.5
IMF,24.75995,93.896697
IMG,-18.4,35
IMI,6.983,171.6
IMK,29.97,81.83
IML,40.52,-101.6
IMM,26.42,-81.42
IMN,-6.7,146.1
IMO,5.033,25.13
IMP,-5.531292,-47.46005
IMT,45.82,-88.12
IMZ,31.1,61.93
INA,66.07,60.1
INB,16.53,-88.43
INC,38.37,106.4
IND,39.717331,-86.294383
INE,-18.62,36.4
INF,19.55,5.767
ING,-50.33,-72.25
INH,-23.876431,35.408544
INI,43.337289,21.853722
INJ,-25.85,148.6
INK,31.779628,-103.201361
INL,48.566186,-93.403067
INM,-27.83,140.8
INN,47.260219,11.343964
INO,-1.95,18.28
INQ,53.03,-9.433
INR,46.53,-84.33
INS,36.57,-115.7
INT,36.133722,-80.222
INU,-0.55,166.9
INV,57.5425,-4.0475
INW,35.02,-110.7
INX,-2.133,132.2
INY,-24.78,31.38
INZ,27.251022,2.512017
IOA,39.696388,20.8225
IOK,-8.4,146.3
IOM,54.083333,-4.623889
ION,1.617,18.07
IOP,-8.367,147.9
IOR,53.12,-9.75
IOS,-14.815964,-39.033197
IOU,-22.42,166.8
IOW,41.67,-91.53
IPA,-18.75,169.2
IPC,-27.164792,-109.421831
IPE,7.783,122.6
IPG,-3.333,-69.42
IPH,4.567972,101.092194
IPI,0.861925,-77.671764
IPL,32.83,-115.6
IPN,-19.470722,-42.487583
IPT,41.241836,-76.921094
IPU,-14.13,-39.73
IPW,52.03,1.2
IQM,38.13,85.53
IQN,36.1,107.8
IQQ,-20.535222,-70.181275
IQT,-3.784739,-73.308806
IRA,-10.5,161.8
IRB,30.9,-101.9
IRC,65.83,-144.1
IRD,24.1525,89.049446
IRE,-11.3,-41.87
IRG,-12.786944,143.304722
IRI,-7.668633,35.752114
IRJ,-29.381636,-66.795839
IRK,40.1,-92.55
IRM,63.2,64.45
IRN,15.95,-85.18
IRO,10.5,22.55
IRP,2.827606,27.588253
IRS,41.8,-85.42
