ICAO;IATA;Name;Country
FLMD;;;
FLME;;;
FLMF;MFU;MFUWE;ZM
FLMG;MNR;MONGU;ZM
FLMH;;;
FLMI;;;
FLMK;;;
FLML;;;
FLMM;;;
FLMN;;;
FLMO;;;
FLMP;;;ZM
FLMS;;;
FLMT;;;
FLMU;;;
FLMW;;;ZM
FLMZ;;;
FLNA;;;
FLND;NLA;NDOLA;ZM
FLNG;;;
FLNI;;;
FLNL;;;
FLNY;;;
FLPA;;;ZM
FLPE;;;ZM
FLPK;;;
FLPO;;;ZM
FLPP;;;
FLRG;;;
FLRO;;;
FLRU;;;
FLRZ;;;
FLSA;;;
FLSD;;;
FLSE;;;ZM
FLSF;;;
FLSH;;;
FLSJ;;;
FLSM;;;
FLSN;;;ZM
FLSO;;SOUTHDOWNS;
FLSS;;;ZM
FLSW;SLI;SOLWEZI;ZM
FLTA;;;
FLTF;;;
FLTI;;;
FLUB;;;
FLWA;;;
FLWB;;;
FLWC;;;
FLWD;;;
FLWE;;;
FLWF;;;
FLWG;;;
FLWW;;;
FLYA;;;
FLZB;BBZ;ZAMBEZI;ZM
FMCH;HAH;MORONI/PRINCE SAID IBRAHIM;KM
FMCI;NWA;MOHELI/BANDAR ES SALAM;KM
FMCN;;;
FMCV;AJN;ANJOUAN/OUANI;KM
FMCZ;DZA;DZAOUDZI PAMANDZI;YT
FMEE;RUN;SAINT DENIS GILLOT;RE
FMEP;ZSE;SAINT PIERRE PIERREFONDS;RE
FMMA;;;
FMMC;WML;MALAIMBANDY;MG
FMME;ATJ;Antsirabe Airport;MG
FMMG;WAQ;ANTSALOVA;MG
FMMH;VVB;MAHANORO;MG
FMMI;TNR;ANTANANARIVO/IVATO;MG
FMMJ;;;
FMMK;JVA;ANKAVANDRA;MG
FMML;BMD;BELO/TSIRIBIHINA;MG
FMMN;ZVA;MIANDRIVAZO;MG
FMMO;MXT;MAINTIRANO;MG
FMMP;;;
FMMQ;ILK;ILAKA/ATSINANANA;MG
FMMR;TVA;MORAFENOBE;MG
FMMS;SMS;SAINTE-MARIE;MG
FMMT;TMM;TOAMASINA;MG
FMMU;WTA;TAMBOHORANO;MG
FMMV;MOQ;MORONDAVA;MG
FMMX;WTS;TSIROANOMANDIDY;MG
FMMY;VAT;VATOMANDRY;MG
FMMZ;WAM;AMBATONDRAZAKA;MG
FMNA;DIE;ANTSIRANANA/ARRACHART;MG
FMNC;WMR;MANANARA/AVARATRA;MG
FMND;ZWA;ANDAPA;MG
FMNE;AMB;AMBILOBE;MG
FMNF;WBD;BEFANDRIANA/AVARATRA;MG
FMNG;WPB;PORT BERGE;MG
FMNH;ANM;ANTALAHA/ANTSIRABATO;MG
FMNJ;IVA;AMBANJA/AMPAPAMENA;MG
FMNL;HVA;ANALALAVA;MG
FMNM;MJN;MAHAJANGA/PHILIBERT TSIRANANA;MG
FMNN;NOS;NOSY-BE/FASCENE;MG
FMNO;DWB;SOALALA;MG
FMNP;;;
FMNQ;BPY;BESALAMPY;MG
FMNR;WMN;MAROANTSETRA;MG
FMNS;SVB;SAMBAVA/SUD;MG
FMNT;TTS;TSARATANANA;MG
FMNV;VOH;VOHIMARINA;MG
FMNW;WAI;ANTSOHIHY AMBALABE;MG
FMNX;WMA;MANDRITSARA;MG
FMNZ;;;
FMSA;;AMBALAVAO;
FMSB;;;
FMSC;WMD;MANDABE;MG
FMSD;;TOLAGNARO;MG
FMSE;;;
FMSF;WFI;FIANARANTSOA;MG
FMSG;RVA;FARAFANGANA;MG
FMSI;IHO;IHOSY;MG
FMSJ;MJA;MANJA;MG
FMSK;WVK;MANAKARA;MG
FMSL;OVA;BEKILY;MG
FMSM;MNJ;MANANJARY;MG
FMSN;;;
FMSO;;;MG
FMSR;;MOROMBE;MG
FMST;TLE;TOLIARY;MG
FMSU;;Vangaindrano, Madagascar;MG
FMSV;;;
FMSY;AMP;AMPANIHY;MG
FMSZ;WAK;ANKAZOABO;MG
FNAM;AZZ;Ambriz;AO
FNBC;SSY;MBANZA CONGO;AO
FNBG;BUG;BENGUELA;AO
FNBU;;;
FNCA;CAB;CABINDA;AO
FNCB;;;
FNCC;;;
FNCF;;;
FNCH;;;
FNCM;;;
FNCP;;;
FNCT;;;
FNCV;;;
FNCX;;;
FNCZ;CAV;Cazombo Airport - Cazombo;AO
FNDB;;;
FNDU;DUE;DUNDO;AO
FNGI;NGV;NGIVA;AO
FNGU;;;
FNHU;NOV;HUAMBO;AO
FNKU;SVP;KUITO;AO
FNLB;;LOBITO;
FNLK;;;
FNLU;LAD;LUANDA 4 DE FEVEREIRO;AO
FNLZ;LZM;LUZAMBA;AO
FNMA;MEG;MALANJE;AO
FNME;SPP;MENONGUE;AO
FNMO;MSZ;NAMIBE;AO
FNMQ;;;
FNNG;GXG;NEGAGE;AO
FNPA;PBN;PORTO AMBOIM;AO
FNPB;;;
FNSA;VHC;SAURIMO;AO
FNSO;SZA;SOYO;AO
FNSU;NDD;SUMBE;AO
FNTO;;;
FNUA;;;
FNUB;SDD;LUBANGO;AO
FNUE;LUO;LUENA;AO
FNUG;UGO;UIGE;AO
FNWK;;;
FNXA;XGN;XANGONGO;AO
FNZE;ARZ;NZeto Airport;AO
FNZG;NZA;NZAGI;AO
FOGB;;;
FOGE;KDN;NDENDE;GA
FOGF;FOU;FOUGAMOU;GA
FOGG;;;
FOGI;MGX;MOABI;GA
FOGJ;KDJ;NDJOLE/VILLE;GA
FOGK;KOU;KOULAMOUTOU;GA
FOGM;MJL;MOUILA/VILLE;GA
FOGO;OYE;OYEM;GA
FOGQ;OKN;OKONDJA;GA
FOGR;LBQ;LAMBARENE;GA
FOGV;;;
FOGW;;;
FOOA;;MOUILLA/VILLE;
FOOB;BMM;BITAM;GA
FOOC;;;GA
FOOD;MFF;MOANDA;GA
FOOE;MKB;Mekambo Airport;GA
FOOF;;;
FOOG;POG;PORT GENTIL;GA
FOOH;OMB;OMBOUE/HOPITAL;GA
FOOI;;;
FOOK;MKU;MAKOKOU;GA
FOOL;LBV;LIBREVILLE/LEON M'BA;GA
FOOM;MZC;MITZIC;GA
FOON;MVB;FRANCEVILLE/MVENGUE;GA
FOOR;LTL;LASTOURVILLE;GA
FOOS;;;
FOOT;TCH;TCHIBANGA;GA
FOOY;MYB;MAYUMBA;GA
FPPA;;;
FPPR;PCP;PRINCIPE;ST
FPST;TMS;SAO TOME INTL;ST
FPVN;;;
FQAG;ANO;ANGOCHE;MZ
FQBI;;;
FQBR;BEW;BEIRA;MZ
FQCB;;;MZ
FQCH;;CHIMOIO;MZ
FQES;;;
FQFU;;;
FQIA;IHC;INHACA;MZ
FQIN;INH;INHAMBANE;MZ
FQLC;VXC;LICHINGA;MZ
FQLU;LFB;LUMBO;MZ
FQMA;MPM;MAPUTO;MZ
FQMD;MUD;MUEDA;MZ
FQMP;MZB;MOCIMBOA DA PRAIA;MZ
FQMR;;MARRUPA;
FQMU;;;
FQNC;MNC;NACALA;MZ
FQNP;APL;NAMPULA;MZ
FQPB;POL;PEMBA;MZ
FQPO;PDD;PONTA DE OURO;MZ
FQQL;UEL;QUELIMANE;MZ
FQSG;;SONGO;
FQTE;;;MZ
FQTT;TET;TETE CHINGOZI;MZ
FQUG;;ULONGWE;
FQVL;VNX;VILANKULO;MZ
FQXA;;;MZ
FSAL;;;SC
FSAS;;;SC
FSDA;;;SC
FSDR;DES;Desroches ;SC
FSFA;;;SC
FSIA;SEZ;SEYCHELLES INTL;SC
FSMA;;;SC
FSPL;;;SC
FSPP;PRI;PRASLIN;SC
FSSA;;;SC
FSSB;BDI;Bird Island ;SC
FSSC;;;SC
FSSD;DEI;Denis Is., Seychelle;SC
FSSF;;;SC
FSSR;;;SC
FTTA;SRH;SARH;TD
FTTB;;;
FTTC;AEH;ABECHE;TD
FTTD;MQQ;MOUNDOU;TD
FTTE;;;
FTTF;;;
FTTG;;;
FTTH;;;
FTTI;ATV;ATI;TD
FTTJ;NDJ;N'DJAMENA/HASSAN DJAMOUS;TD
FTTK;;;TD
FTTL;OTC;BOL/BERIM;TD
FTTM;MVO;MONGO;TD
FTTN;AMC;AM-TIMAN;TD
FTTP;PLF;PALA;TD
FTTR;;;
FTTS;;;
FTTU;AMO;Mao Airport;TD
FTTY;FYT;FAYA-LARGEAU;TD
FTTZ;;;
FVAB;;ABERDEEN TWO;
FVAE;;BRAEBOURNE;
FVAM;;;
FVAP;;;
FVAR;;;
FVAT;;;
FVBA;;;
FVBB;;;ZW
FVBC;;;
FVBD;;;
FVBI;;BINGA;ZW
FVBK;;;
FVBL;;;
FVBM;BZH;BUMI HILLS;ZW
FVBO;;BOSBURY;
FVBR;;;
FVBU;BUQ;BULAWAYO/JOSHUA MQABUKO NKOMO INTL;ZW
FVBV;;;
FVBY;;;
FVCC;;;
FVCD;;;
FVCE;;CELINA;
FVCH;CHJ;CHIPINGE;ZW
FVCI;;;
FVCJ;;;
FVCK;;CHIKWENYA;
FVCM;;CAM & MOTOR;
FVCN;;CENTENARY;
FVCO;;;
FVCP;;HARARE/CHARLES PRINCE;
FVCR;;CHIZARIRA;
FVCT;;;
FVCV;;CHIVHU;
FVCW;;;
FVCY;;;
FVCZ;BFO;CHIREDZI/BUFFALO RANGE;ZW
FVDA;;DAWSONS;
FVDB;;;
FVDE;;DEKA;
FVDL;;;
FVDM;;;
FVDP;;;
FVDR;;;
FVDU;;DUDLEY;
FVDV;;;
FVDW;;;
FVDZ;;;
FVED;;EDUAN;
FVEF;;;
FVES;;;
FVET;;;
FVFA;VFA;VICTORIA FALLS INTL;ZW
FVFG;;;
FVFI;;FILABUSI;
FVFY;;;
FVGA;;;
FVGB;;;
FVGD;;GWANDA;
FVGI;;GUYU;
FVGM;;;
FVGO;;;ZW
FVGR;;GRAND REEF;
FVGT;;;
FVGV;;;
FVGW;;GWERU;ZW
FVGY;;;
FVHA;HRE;HARARE INTL;ZW
FVHE;;;
FVHG;;;
FVHM;;;
FVHP;;HOME PARK;
FVHR;;;
FVHT;;HATCLIFFE;
FVHV;;;
FVHY;;HIPPO VALLEY;
FVID;;;
FVIG;;;
FVIK;;;
FVIL;;;
FVIM;;;
FVIN;;;
FVIO;;;
FVIP;;;
FVIR;;;
FVIT;;ITAFA;
FVJA;;;
FVJG;;J. G.;
FVJM;;;
FVKA;;;ZW
FVKB;KAB;KARIBA INTL;ZW
FVKK;;;
FVKM;;;
FVKR;;;
FVKU;;;
FVKW;;;
FVKZ;;KEZI;
FVLA;;LANGFORD;
FVLF;;;
FVLG;;;
FVLN;;;
FVLS;;LONESTAR;
FVLU;;LUSULU;
FVMA;;;
FVMB;;;
FVMC;WKI;HWANGE/MAIN CAMP;ZW
FVMD;;MOUNT DARWIN;
FVMF;;;
FVMH;;;
FVMI;;;
FVMK;;MKONONO;
FVML;;MILIBIZI;
FVMM;;;
FVMN;;;
FVMS;;;
FVMT;;MUTOKO;ZW
FVMU;UTA;MUTARE;ZW
FVMV;MVZ;MASVINGO INTL;ZW
FVMW;;MUREWA;
FVMY;;;
FVMZ;;;
FVNA;;;
FVNJ;;;
FVNK;NKY;NKAYI;CG
FVNN;;;
FVNT;;NOTTINGHAM;
FVNV;;;
FVNY;;NYANYADZI;
FVNZ;;;
FVOG;;;
FVOM;;;
FVON;;;
FVOT;;;
FVPL;;;
FVPY;;;
FVPZ;;;
FVRA;;;
FVRB;;BARBERTON;
FVRE;;;
FVRI;;;
FVRK;;;
FVRM;;;
FVRO;;;
FVRT;;RUTENGA;
FVRU;;;ZW
FVRY;;;
FVSB;;;
FVSC;;;
FVSE;;;
FVSF;;;
FVSH;;;
FVSI;;;
FVSJ;;;
FVSK;;;
FVSM;;;
FVSN;;SUN-YET-SEN;
FVSO;;;
FVSP;;;
FVSR;;;
FVSS;;;
FVSU;;;
FVSV;;;
FVSW;;;
FVSX;;;
FVSY;;;
FVSZ;;;
FVTA;;;
FVTB;;;
FVTD;;;
FVTE;;;
FVTF;;;
FVTH;;THORNE;
FVTI;;TILBURY;
FVTJ;;TONJE;
FVTL;GWE;Gweru, Zimbabwe - Thornhill AB - Military;ZW
FVTP;;;
FVTR;;;
FVTS;;TSHOLOTSHO;
FVTT;;;
FVTU;;TULI;
FVTW;;;
FVUF;;;
FVUN;;;
FVUR;;;
FVVE;;SOVELELE;
FVVL;;;
FVVM;;;
FVVU;;;
FVWA;;;
FVWD;;WEDZA;
FVWE;;WEST NICHOLSON;
FVWG;;;
FVWI;;;
FVWK;;;
FVWL;;;
FVWM;;;
FVWN;HWN;HWANGE NATIONAL PARK;ZW
FVWS;;;
FVWT;;;
FVWZ;;;
FVYB;;;
FVYK;;;
FVYT;;;
FVZC;;;
FVZH;;;
FVZI;;;
FVZK;;;
FVZM;;;
FWBG;;;
FWCB;;;
FWCC;;;
FWCD;;;
FWCL;BLZ;CHILEKA INTL;MW
FWCM;CMK;CLUB MAKOKOLA;MW
FWCS;;;
FWCT;;;MW
FWDW;;;
FWDZ;;;MW
FWKA;KGJ;KARONGA;MW
FWKB;;;
FWKG;KBQ;KASUNGU;MW
FWKI;LLW;LILONGWE/KAMUZU INTL;MW
FWKK;;;MW
FWLI;;;
FWLK;LIX;Likoma Island, Malawi;MW
FWLP;;KASUNGU/LIFUPA;
FWMC;;;
FWMG;MAI;Mangochi Airport - Mangochi;MW
FWMY;;;MW
FWMZ;;;MW
FWNB;;;
FWSJ;;;
FWSM;LMB;SALIMA;MW
FWSU;;;
FWTK;;;
FWUU;ZZU;MZUZU INTL;MW
FWZA;;;
FXBB;;;
FXKA;;;
FXKB;;;
FXKY;;;
FXLK;;;
FXLR;;;
FXLS;;;
FXLT;;;
FXMA;;;
FXMF;;;
FXMH;;;
FXMK;;;
FXML;;;
FXMM;MSU;Maseru, Lesotho - Moshoeshoe International Airport;LS
FXMN;;;
FXMP;;;
FXMS;;;
FXMT;;;
FXMU;;Maseru, Lesotho - Mejametalana - Military;LS
FXMV;;;
FXNH;;;
FXNK;;;
FXPG;;;
FXQG;;;
FXQN;;;
FXSE;;;
FXSH;;;
FXSK;;;
FXSM;;;
FXSS;;;
FXST;;;
FXTA;;;
FXTB;;;
FXTK;;;
FYAA;;;
FYAB;;;
FYAK;;;
FYAM;;;
FYAN;;;
FYAR;ADI;ARANDIS;NA
FYAS;;;
FYAV;;;
FYBB;;;
FYBC;;;
FYBG;;;
FYBJ;;;
FYCB;;;
FYCC;;;
FYCO;;;
FYCV;;;
FYDC;;;
FYDS;;;
FYEF;;;
FYEH;;;
FYEK;;;
FYEN;;;
FYER;;;
FYET;;;
FYGB;GOG;GOBABIS;NA
FYGC;;;
FYGF;GFY;GROOTFONTEIN;NA
FYGK;;;
FYGL;;;
FYGM;;;
FYGN;;;
FYGO;;;
FYGP;;;
FYGV;;GRAVENSTEIN;
FYHA;;;
FYHC;;;
FYHH;;;
FYHI;;;
FYHL;;;
FYHN;;;
FYHS;;;
FYHT;;;
FYHV;;;
FYIA;;;
FYIB;;;
FYIH;;;
FYII;;;
FYIM;;;
FYKA;;;
FYKB;;;
FYKD;;;
FYKG;;;
FYKJ;;;
FYKK;;;
FYKL;;;
FYKM;;KATIMA MULILO;
FYKN;;;
FYKO;;;
FYKP;;;
FYKR;;;
FYKT;KMP;KEETMANSHOOP;NA
FYKW;;;
FYKX;;;
FYKY;;;
FYKZ;;;
FYLR;;;
FYLS;;LIANSHULU;
FYLV;;;
FYLZ;LUD;LUDERITZ;NA
FYMB;;;
FYME;;;
FYMF;;;
FYMG;;;
FYMH;;;
FYML;;MARIENTAL;
FYMO;OKU;MOKUTI LODGE;NA
FYMP;;;
FYMR;;;
FYMT;;;
FYMU;;;
FYMW;;;
FYNA;;;
FYND;;;
FYNG;;;
FYNN;;;
FYNP;;;
FYOA;OND;ONDANGWA;NA
FYOE;;;
FYOG;OMD;ORANJEMUND;NA
FYOH;;;
FYOI;;;
FYOJ;;;
FYOK;;;
FYOM;;;
FYON;;;
FYOO;;;
FYOP;;;
FYOR;;;
FYOS;;;
FYOU;;;
FYOV;;;
FYOW;;;
FYOZ;;;
FYPR;;;
FYPU;;;
FYPW;;;
FYRF;;;
FYRH;;;
FYRK;;;NA
FYRP;;;
FYRR;;RAG ROCK;
FYRU;NDU;RUNDU;NA
FYSA;;SKORPION MINE;
FYSC;;;
FYSF;;;
FYSG;;;
FYSH;;;
FYSI;;;
FYSM;SWP;SWAKOPMUND;NA
FYSN;;;
FYSO;;;
FYSP;;;
FYSR;;;
FYSS;;;
FYST;;;
FYSV;;;
FYTB;;;
FYTE;;;
FYTK;;;
FYTL;;;
FYTM;TSB;TSUMEB;NA
FYTN;;;
FYTO;;;
FYTR;;;
FYTS;;;
FYUK;;;
FYUS;;;
FYWB;WVB;WALVIS BAY;NA
FYWD;;;
FYWE;ERS;WINDHOEK/EROS;NA
FYWH;WDH;WINDHOEK/HOSEA KUTAKO INTL;NA
FYWI;;;
FYWL;;;
FYWM;;;
FYWT;;;
FZAA;FIH;KINSHASA NDJILI INTL;CD
FZAB;NLO;KINSHASA NDOLO;CD
FZAC;;;
FZAD;;;
FZAE;;;
FZAF;;;
FZAG;MNB;MUANDA;CD
FZAH;;;
FZAI;;KITONA BASE;
FZAJ;BOA;BOMA;CD
FZAL;;;
FZAM;MAT;MATADI TSHIMPI;CD
FZAN;;INGA;CD
FZAP;;;
FZAR;;;
FZAS;;;
FZAU;;;
FZAW;;;
FZAX;;;
FZAY;;;
FZBA;INO;INONGO;CD
FZBB;;;
FZBC;;;
FZBD;;;
FZBE;;;
FZBF;;;
FZBG;;;
FZBH;;;
FZBI;;;
FZBJ;;;
FZBK;;;
FZBL;;;
FZBN;;;
FZBO;FDU;BANDUNDU;CD
FZBP;;;
FZBQ;;;
FZBR;;;
FZBS;;;
FZBT;;;
FZBU;;;
FZBV;;;
FZBW;;;
FZCA;KKW;KIKWIT;CD
FZCB;;;
FZCD;;;
FZCE;;;
FZCF;;;
FZCG;;;
FZCI;;;
FZCK;;;
FZCL;;;
FZCM;;;
FZCO;;;
FZCP;;;
FZCR;;;
FZCS;;;CD
FZCT;;;
FZCU;;;
FZCV;;;
FZCW;;;
FZCX;;;
FZCY;;;
FZDA;;;
FZDB;;;
FZDC;;;
FZDD;;;
FZDE;;;
FZDF;;;
FZDG;;;
FZDH;;;
FZDI;;;
FZDJ;;;
FZDK;;;
FZDL;;;
FZDM;;;
FZDN;;;
FZDO;;;
FZDP;;;
FZDQ;;;
FZDR;;;
FZDS;;;
FZDT;;;
FZDU;;;
FZDY;;;
FZEA;MDK;MBANDAKA;CD
FZEB;;;
FZEG;;;
FZEI;;;
FZEL;;;
FZEM;;;
FZEN;BSU;BASANKUSU;CD
FZEO;;;
FZEP;;;
FZER;;;
FZES;;;
FZFA;LIE;LIBENGE;CD
FZFB;;;
FZFC;;;
FZFD;BDT;GBADOLITE;CD
FZFE;;;
FZFF;;;
FZFG;;;
FZFH;;;
FZFJ;;;
FZFK;GMA;GEMENA;CD
FZFL;;;
FZFN;;;
FZFP;KLI;KOTAKOLI;CD
FZFQ;;;
FZFR;;;
FZFS;;;
FZFT;;;
FZFU;BMB;BUMBA;CD
FZFV;;;
FZFW;;;
FZGA;LIQ;LISALA;CD
FZGB;;;
FZGC;;;
FZGD;;;
FZGE;;;
FZGF;;;
FZGG;;;
FZGH;;;
FZGI;;;
FZGJ;;;
FZGN;BNB;BOENDE;CD
FZGT;;;
FZGV;;;
FZGX;;;
FZGY;;;
FZIA;;Kisangani Simisini, Democratic Republic of Congo (Zaire);CD
FZIC;FKI;Kisangani - Bangoka International Airport - Congo (Zaire);CD
FZIF;;;
FZIG;;;
FZIK;;;
FZIR;;;
FZIZ;;;
FZJA;;;
FZJB;;;
FZJC;;;
FZJD;;;
FZJE;;;
FZJF;;;
FZJH;IRP;ISIRO MATARI;CD
FZJI;;;
FZJK;;;
FZJN;;;
FZJR;;;
FZKA;BUX;BUNIA;CD
FZKB;;;
FZKC;;;
FZKF;;;
FZKI;;;
FZKJ;BZU;BUTA ZEGA;CD
FZKN;;;
FZKO;;;
FZKP;;;
FZMA;BKY;BUKAVU KAVUMU;CD
FZMB;;;CD
FZMC;;;
FZMD;;;
FZMK;;;
FZMP;;;
FZMW;;;
FZNA;GOM;GOMA;CD
FZNB;;;
FZNC;;;CD
FZNF;;;
FZNI;;;
FZNK;;;
FZNM;;;
FZNO;;;
FZNP;;;
FZNQ;;;
FZNR;;;
FZNT;;;
FZOA;KND;KINDU;CD
FZOB;;;
FZOC;;;
FZOD;;;
FZOE;;;
FZOF;;;
FZOG;;;
FZOH;;;
FZOJ;;;
FZOK;;;
FZOO;;;
FZOP;;;
FZOQ;;;
FZOR;;;
FZOS;;;
FZOT;;;
FZPB;;;
FZPC;;;
FZQA;FBM;LUBUMBASHI INTL;CD
FZQC;;;
FZQD;;;
FZQE;;;
FZQF;;;
FZQG;;;
FZQH;;;
FZQI;;LIKASI/KAMATANDA;
FZQJ;;;
FZQM;KWZ;KOLWEZI;CD
FZQN;;;
FZQO;;;
FZQP;;;
FZQU;;;
FZQV;;;
FZQW;;;
FZRA;MNO;MANONO;CD
FZRB;;;
FZRC;;;
FZRD;;;
FZRE;;;
FZRF;FMI;KALEMIE;CD
FZRG;;;
FZRJ;;;
FZRK;;;
FZRL;;;
FZRM;;;
FZRN;;;
FZRO;;;
FZRQ;;;CD
FZSA;KMN;KAMINA BASE;CD
FZSB;;;
FZSC;;;
FZSD;;;
FZSE;;;
FZSI;;;
FZSJ;;;
FZSK;;;
FZTK;;;
FZTL;;;
FZTS;;;
FZUA;KGA;KANANGA;CD
FZUE;;;
FZUF;;;
FZUG;;;
FZUH;;Moma Airport;CD
FZUI;;;
FZUJ;;;
FZUK;TSH;TSHIKAPA;CD
FZUL;;;
FZUM;;;
FZUN;;;
FZUO;;;
FZUP;;;
FZUR;;;
FZUS;;;
FZUT;;;
FZUU;;;
FZUV;;;
FZVA;LJA;LODJA;CD
FZVC;;;
FZVD;;;
FZVE;;;
FZVF;;;
FZVG;;;
FZVH;;;
FZVI;;;CD
FZVJ;;;
FZVK;;;
FZVL;;;
FZVM;;;
FZVN;;;
FZVO;;;
FZVP;;;
FZVR;;;
FZVS;PFR;ILEBO;CD
FZVT;;;
FZVU;;;
FZVV;;ODUKU;
FZWA;MJM;MBUJI MAYI;CD
FZWB;;;
FZWC;;;
FZWE;;;
FZWF;;;
FZWI;;;
FZWL;;;
FZWR;;;
FZWS;;;
FZWT;;;
GAAO;;;
GABD;;;
GABF;;;
GABG;;;ML
GABR;;;
GABS;BKO;BAMAKO/SENOU;ML
GADA;;;
GADZ;;;
GAFD;;;
GAGL;;;
GAGM;GUD;GOUNDAM;ML
GAGO;GAQ;GAO/KOROGOUSSOU;ML
GAGR;;;
GAHB;;;ML
GAKA;KNZ;KENIEBA;ML
GAKD;KYS;KAYES DAG;ML
GAKL;;KIDAL;ML
GAKM;;;
GAKN;;;
GAKO;;;ML
GAKT;;;ML
GAKY;;;ML
GAMA;;;
GAMB;MZI;MOPTI/AMBODEDJO;ML
GAMK;;;ML
GANF;;;
GANK;;;ML
GANR;NIX;NIORO;ML
GASG;;;ML
GASK;;;ML
GASN;;;ML
GASO;KSS;SIKASSO/DIGNANGAN;ML
GATB;TOM;TOMBOUCTOU;ML
GATN;;;
GATS;;TESSALIT;ML
GAYE;EYL;YELIMANE;ML
GBYD;BJL;BANJUL INTL;GM
GCFV;FUE;FUERTEVENTURA;ES
GCGM;GMZ;LA GOMERA;ES
GCGO;;SAN SEBASTIAN DE LA GOMERA;
GCHI;VDE;HIERRO;ES
GCHU;;HOSPITAL UNIVERSITARIO DE CANARIAS;
GCLA;SPC;LA PALMA;ES
GCLB;;EL BERRIEL;
GCLP;LPA;GRAN CANARIA;ES
GCRR;ACE;LANZAROTE;ES
GCTS;TFS;TENERIFE SUR/REINA SOFIA;ES
GCXO;TFN;TENERIFE NORTE;ES
GECE;JCU;CEUTA;ES
GECT;;;
GEHM;;;
GEML;MLN;MELILLA;ES
GFBN;;;
GFBO;;;
GFCK;;;
GFGK;;;
GFHA;;HASTINGS;
GFKB;;;
GFKE;KEN;KENEMA (SIERRA LEONE);SL
GFLL;FNA;FREETOWN LUNGI;SL
GFTO;;;
GFYE;;;
GGBB;;;
GGBE;;;
GGBF;;;GW
GGBI;;;
GGBO;;;
GGBU;;;
GGCC;;;
GGCF;;CUFAR;
GGCG;;;
GGCT;;;
GGCV;;;
GGEP;;;
GGFO;;;
GGFR;;;
GGFU;;;
GGGA;;;
GGGB;;;
GGMS;;;
GGOV;OXB;BISSAU OSWALDO VIEIRA INTL;GW
GGPC;;;
GGPR;;;
GGSD;;;
GGTT;;;
GGUN;;;
GGVR;;;
GLBU;;;
GLCM;;;
GLCP;;;
GLGE;;;
GLLB;;;
GLMR;MLW;MONROVIA SPRIGGS PAYNE;LR
GLNA;NIA;NIMBA (LAMCO);LR
GLRB;ROB;MONROVIA ROBERTS INTL;LR
GLSK;;;
GLST;;;
GLTN;;;
GLVA;;;
GMAA;;;MA
GMAD;AGA;AGADIR/AL MASSIRA;MA
GMAG;;GUELMIME;
GMAT;TTA;TAN-TAN/PLAGE BLANCHE;MA
GMAZ;;ZAGORA;
GMFA;;;
GMFB;;BOUARFA;
GMFF;FEZ;FES/SAISS;MA
GMFI;;IFRANE;MA
GMFK;ERH;ERRACHIDIA/MOULAY ALI CHERIF;MA
GMFM;MEK;Meknes;MA
GMFN;;;MA
GMFO;OUD;OUJDA/ANGADS;MA
GMFT;;;
GMFU;;;
GMFZ;;;MA
GMMA;;;
GMMB;;BENSLIMANE NATIONAL;
GMMC;CAS;Anfa;MA
GMMD;;BENI MELLAL;
GMME;RBA;Rabat, Morocco - Sale;MA
GMMF;SII;Sidi Ifni Airport;MA
GMMH;VIL;Villa Cisneros, Western Sahara;EH
GMMI;ESU;ESSAOUIRA/MOGADOR INTL;MA
GMMJ;;;
GMMK;;;
GMML;EUN;LAAYOUNE/HASSAN I;MA
GMMN;CMN;CASABLANCA/MOHAMMED V;MA
GMMO;;TAROUDANT;
GMMS;SFI;Safi;MA
GMMT;;CASABLANCA/TIT MELLIL;
GMMW;NDR;NADOR/EL AROUI;MA
GMMX;RAK;MARRAKECH/MENARA;MA
GMMY;NNA;Naval Air Field;MA
GMMZ;OZZ;OUARZAZATE;MA
GMSH;;;
GMSL;;;
GMTA;AHU;AL HOCEIMA/CHERIF EL IDRISSI;MA
GMTN;TTU;TETOUAN/SANIAT RMEL;MA
GMTT;TNG;TANGER/IBN BATOUTA;MA
GOGG;ZIG;ZIGUINCHOR;SN
GOGK;KDA;KOLDA;SN
GOGS;CSK;CAP SKIRING;SN
GOOD;;;SN
GOOG;;;SN
GOOK;KLC;KAOLACK;SN
GOOY;DKR;DAKAR/LEOPOLD SEDAR SENGHOR INTL;SN
GOSM;MAX;MATAM/OURO SOGUI;SN
GOSP;POD;PODOR;SN
GOSR;;;
GOSS;XLS;SAINT-LOUIS;SN
GOTB;BXE;BAKEL;SN
GOTK;KGG;KEDOUGOU;SN
GOTS;SMY;SIMENTI;SN
GOTT;TUD;TAMBACOUNDA;SN
GQNA;AEO;AIOUN EL ATROUSS;MR
GQNB;OTL;Boutilimit Airport;MR
GQNC;;;
GQND;TIY;TIDJIKJA;MR
GQNE;;;
GQNF;KFA;KIFFA;MR
GQNH;;;
GQNI;EMN;Nema;MR
GQNJ;AJJ;AKJOUJT;MR
GQNK;KED;KAEDI;MR
GQNL;;;
GQNM;;;
GQNN;NKC;NOUAKCHOTT;MR
GQNR;;;MR
GQNS;SEY;SELIBADY;MR
GQNT;;;
GQNU;;;
GQPA;ATR;ATAR;MR
GQPF;FGD;FDERIK;MR
GQPP;NDB;NOUADHIBOU;MR
GQPT;;BIR MOGHREIN;MR
